model,manufacturer,length_m,width_m,height_m,area_m2,cooling_capacity_stated_kw,cooling_capacity_central_estimate_kw,source,link,spot_check,notes,fan_diameter_m,number_of_fans,fan_estimate_diameter_m,type,motor_horsepower
S15E-1218-09JN-2,BAC,4.5,11.02,4.47,49.56,4302.0,4302.0,,https://www.calameo.com/read/007362127e29aeca4d414?authid=Vtd8DMG7ouV6,,,,2.0,4.275,,
S3E-1222-12S,BAC,6.58,3.61,5.82,23.73,4307.0,4307.0,Product Catalog,https://www.calameo.com/read/0073621279a1d0c9ca0e2?authid=Ms66hE7oFhAO,,,,1.0,3.4294999999999995,,75.0
S3E-1222-14R,BAC,6.58,3.61,6.63,23.73,4324.0,4324.0,Product Catalog,https://www.calameo.com/read/0073621279a1d0c9ca0e2?authid=Ms66hE7oFhAO,,,,1.0,3.4294999999999995,,60.0
S15E-1212-12MN-2,BAC,5.56,7.37,5.46,40.97,4346.0,4346.0,,https://www.calameo.com/read/007362127e29aeca4d414?authid=Vtd8DMG7ouV6,,,,2.0,5.281999999999999,,
S3E-1424-12Q,BAC,7.34,4.27,5.87,31.32,4368.0,4368.0,Product Catalog,https://www.calameo.com/read/0073621279a1d0c9ca0e2?authid=Ms66hE7oFhAO,,,,1.0,4.0565,,50.0
S3E-1222-06O-2,BAC,6.58,7.29,3.33,47.96,4386.0,4386.0,Product Catalog,https://www.calameo.com/read/0073621279a1d0c9ca0e2?authid=Ms66hE7oFhAO,,,,2.0,6.251,,60.0
S15E-1218-07LC-2,BAC,3.61,11.02,3.61,39.76,4399.0,4399.0,,https://www.calameo.com/read/007362127e29aeca4d414?authid=Vtd8DMG7ouV6,,,,2.0,3.4294999999999995,,
XES3E-1424-14P,BAC,7.34,4.27,6.68,31.32,4421.0,4421.0,Product Catalog,https://www.calameo.com/read/0073621279a1d0c9ca0e2?authid=Ms66hE7oFhAO,,,,1.0,4.0565,,40.0
S3E-1222-13S,BAC,6.58,3.61,6.22,23.73,4447.0,4447.0,Product Catalog,https://www.calameo.com/read/0073621279a1d0c9ca0e2?authid=Ms66hE7oFhAO,,,,1.0,3.4294999999999995,,75.0
S3E-1424-13Q,BAC,7.34,4.27,6.27,31.32,4526.0,4526.0,Product Catalog,https://www.calameo.com/read/0073621279a1d0c9ca0e2?authid=Ms66hE7oFhAO,,,,1.0,4.0565,,50.0
S3E-1222-07N-2,BAC,6.58,7.29,3.73,47.96,4592.0,4592.0,Product Catalog,https://www.calameo.com/read/0073621279a1d0c9ca0e2?authid=Ms66hE7oFhAO,,,,2.0,6.251,,50.0
S3E-1424-12R,BAC,7.34,4.27,6.02,31.32,4610.0,4610.0,Product Catalog,https://www.calameo.com/read/0073621279a1d0c9ca0e2?authid=Ms66hE7oFhAO,,,,1.0,4.0565,,60.0
S3E-1222-14S,BAC,6.58,3.61,6.63,23.73,4636.0,4636.0,Product Catalog,https://www.calameo.com/read/0073621279a1d0c9ca0e2?authid=Ms66hE7oFhAO,,,,1.0,3.4294999999999995,,75.0
S3E-1020-07P-2,BAC,6.12,6.05,3.71,37.01,4653.0,4653.0,Product Catalog,https://www.calameo.com/read/0073621279a1d0c9ca0e2?authid=Ms66hE7oFhAO,,,,2.0,5.7475,,80.0
S15E-1218-09KN-2,BAC,4.5,11.02,4.47,49.56,4697.0,4697.0,,https://www.calameo.com/read/007362127e29aeca4d414?authid=Vtd8DMG7ouV6,,,,2.0,4.275,,
S3E-1424-14Q,BAC,7.34,4.27,6.68,31.32,4719.0,4719.0,Product Catalog,https://www.calameo.com/read/0073621279a1d0c9ca0e2?authid=Ms66hE7oFhAO,,,,1.0,4.0565,,50.0
S3E-1424-13R,BAC,7.34,4.27,6.43,31.32,4776.0,4776.0,Product Catalog,https://www.calameo.com/read/0073621279a1d0c9ca0e2?authid=Ms66hE7oFhAO,,,,1.0,4.0565,,60.0
S3E-1222-07O-2,BAC,6.58,7.29,3.73,47.96,4869.0,4869.0,Product Catalog,https://www.calameo.com/read/0073621279a1d0c9ca0e2?authid=Ms66hE7oFhAO,,,,2.0,6.251,,60.0
S3E-1424-12S,BAC,7.34,4.27,6.02,31.32,4921.0,4921.0,Product Catalog,https://www.calameo.com/read/0073621279a1d0c9ca0e2?authid=Ms66hE7oFhAO,,,,1.0,4.0565,,75.0
S15E-1218-10KN-2,BAC,4.9,11.02,4.88,54.04,4926.0,4926.0,,https://www.calameo.com/read/007362127e29aeca4d414?authid=Vtd8DMG7ouV6,,,,2.0,4.655,,
S3E-1424-14R,BAC,7.34,4.27,6.83,31.32,4978.0,4978.0,Product Catalog,https://www.calameo.com/read/0073621279a1d0c9ca0e2?authid=Ms66hE7oFhAO,,,,1.0,4.0565,,60.0
S15E-1218-09LC-2,BAC,4.5,11.02,4.47,49.56,5022.0,5022.0,,https://www.calameo.com/read/007362127e29aeca4d414?authid=Vtd8DMG7ouV6,,,,2.0,4.275,,
S3E-1222-14T[1],BAC,6.58,3.61,6.63,23.73,5035.0,5035.0,Product Catalog,https://www.calameo.com/read/0073621279a1d0c9ca0e2?authid=Ms66hE7oFhAO,,,,1.0,3.4294999999999995,,100.0
S3E-1424-13S,BAC,7.34,4.27,6.43,31.32,5097.0,5097.0,Product Catalog,https://www.calameo.com/read/0073621279a1d0c9ca0e2?authid=Ms66hE7oFhAO,,,,1.0,4.0565,,75.0
S15E-1218-11KN-2,BAC,5.31,11.02,5.28,58.52,5128.0,5128.0,,https://www.calameo.com/read/007362127e29aeca4d414?authid=Vtd8DMG7ouV6,,,,2.0,5.044499999999999,,
S15E-1218-10LC-2,BAC,4.9,11.02,4.88,54.04,5268.0,5268.0,,https://www.calameo.com/read/007362127e29aeca4d414?authid=Vtd8DMG7ouV6,,,,2.0,4.655,,
S3E-1424-12T[1],BAC,7.34,4.27,6.12,31.32,5299.0,5299.0,Product Catalog,https://www.calameo.com/read/0073621279a1d0c9ca0e2?authid=Ms66hE7oFhAO,,,,1.0,4.0565,,100.0
S15E-1218-12KN-2,BAC,5.72,11.02,5.69,63.0,5312.0,5312.0,,https://www.calameo.com/read/007362127e29aeca4d414?authid=Vtd8DMG7ouV6,,,,2.0,5.433999999999999,,
S15E-1218-09LN-2,BAC,4.5,11.02,4.47,49.56,5321.0,5321.0,,https://www.calameo.com/read/007362127e29aeca4d414?authid=Vtd8DMG7ouV6,,,,2.0,4.275,,
S3E-1424-14S,BAC,7.34,4.27,6.83,31.32,5334.0,5334.0,Product Catalog,https://www.calameo.com/read/0073621279a1d0c9ca0e2?authid=Ms66hE7oFhAO,,,,1.0,4.0565,,75.0
S3E-1222-07P-2,BAC,6.58,7.29,3.73,47.96,5334.0,5334.0,Product Catalog,https://www.calameo.com/read/0073621279a1d0c9ca0e2?authid=Ms66hE7oFhAO,,,,2.0,6.251,,80.0
S3E-1424-07O-2,BAC,7.34,8.59,3.76,63.02,5448.0,5448.0,Product Catalog,https://www.calameo.com/read/0073621279a1d0c9ca0e2?authid=Ms66hE7oFhAO,,,,2.0,6.973,,60.0
S15E-1218-11LC-2,BAC,5.31,11.02,5.28,58.52,5488.0,5488.0,,https://www.calameo.com/read/007362127e29aeca4d414?authid=Vtd8DMG7ouV6,,,,2.0,5.044499999999999,,
S3E-1424-13T[1],BAC,7.34,4.27,6.53,31.32,5488.0,5488.0,Product Catalog,https://www.calameo.com/read/0073621279a1d0c9ca0e2?authid=Ms66hE7oFhAO,,,,1.0,4.0565,,100.0
S15E-1218-10LN-2,BAC,4.9,11.02,4.88,54.04,5523.0,5523.0,,https://www.calameo.com/read/007362127e29aeca4d414?authid=Vtd8DMG7ouV6,,,,2.0,4.655,,
S15E-1218-12LC-2,BAC,5.72,11.02,5.69,63.0,5681.0,5681.0,,https://www.calameo.com/read/007362127e29aeca4d414?authid=Vtd8DMG7ouV6,,,,2.0,5.433999999999999,,
S3E-1222-07Q-2,BAC,6.58,7.29,3.73,47.96,5720.0,5720.0,Product Catalog,https://www.calameo.com/read/0073621279a1d0c9ca0e2?authid=Ms66hE7oFhAO,,,,2.0,6.251,,100.0
S3E-1424-14T[1],BAC,7.34,4.27,6.93,31.32,5720.0,5720.0,Product Catalog,https://www.calameo.com/read/0073621279a1d0c9ca0e2?authid=Ms66hE7oFhAO,,,,1.0,4.0565,,100.0
S15E-1218-11LN-2,BAC,5.31,11.02,5.28,58.52,5751.0,5751.0,,https://www.calameo.com/read/007362127e29aeca4d414?authid=Vtd8DMG7ouV6,,,,2.0,5.044499999999999,,
S15E-1218-12LN-2,BAC,5.72,11.02,5.69,63.0,5953.0,5953.0,,https://www.calameo.com/read/007362127e29aeca4d414?authid=Vtd8DMG7ouV6,,,,2.0,5.433999999999999,,
S3E-1424-07P-2,BAC,7.34,8.59,3.76,63.02,5970.0,5970.0,Product Catalog,https://www.calameo.com/read/0073621279a1d0c9ca0e2?authid=Ms66hE7oFhAO,,,,2.0,6.973,,80.0
S3E-1424-14U[2],BAC,7.34,4.27,6.83,31.32,6032.0,6032.0,Product Catalog,https://www.calameo.com/read/0073621279a1d0c9ca0e2?authid=Ms66hE7oFhAO,,,,1.0,4.0565,,119.0
S3E-1222-07R-2,BAC,6.58,7.29,3.89,47.96,6058.0,6058.0,Product Catalog,https://www.calameo.com/read/0073621279a1d0c9ca0e2?authid=Ms66hE7oFhAO,,,,2.0,6.251,,120.0
S15E-1218-10MN-2,BAC,4.9,11.02,4.88,54.04,6093.0,6093.0,,https://www.calameo.com/read/007362127e29aeca4d414?authid=Vtd8DMG7ouV6,,,,2.0,4.655,,
S3E-1424-14W[2],BAC,7.34,4.27,6.83,31.32,6120.0,6120.0,Product Catalog,https://www.calameo.com/read/0073621279a1d0c9ca0e2?authid=Ms66hE7oFhAO,,,,1.0,4.0565,,125.0
S15E-1218-11MN-2,BAC,5.31,11.02,5.28,58.52,6339.0,6339.0,,https://www.calameo.com/read/007362127e29aeca4d414?authid=Vtd8DMG7ouV6,,,,2.0,5.044499999999999,,
S3E-1424-07Q-2,BAC,7.34,8.59,3.76,63.02,6405.0,6405.0,Product Catalog,https://www.calameo.com/read/0073621279a1d0c9ca0e2?authid=Ms66hE7oFhAO,,,,2.0,6.973,,100.0
S15E-1218-12MN-2,BAC,5.72,11.02,5.69,63.0,6559.0,6559.0,,https://www.calameo.com/read/007362127e29aeca4d414?authid=Vtd8DMG7ouV6,,,,2.0,5.433999999999999,,
S3E-1222-10P-2,BAC,6.58,7.29,5.0,47.96,6646.0,6646.0,Product Catalog,https://www.calameo.com/read/0073621279a1d0c9ca0e2?authid=Ms66hE7oFhAO,,,,2.0,6.251,,80.0
S3E-1424-07R-2,BAC,7.34,8.59,3.76,63.02,6783.0,6783.0,Product Catalog,https://www.calameo.com/read/0073621279a1d0c9ca0e2?authid=Ms66hE7oFhAO,,,,2.0,6.973,,120.0
S3E-1222-10Q-2,BAC,6.58,7.29,5.0,47.96,7116.0,7116.0,Product Catalog,https://www.calameo.com/read/0073621279a1d0c9ca0e2?authid=Ms66hE7oFhAO,,,,2.0,6.251,,100.0
S3E-1222-12P-2,BAC,6.58,7.29,5.82,47.96,7129.0,7129.0,Product Catalog,https://www.calameo.com/read/0073621279a1d0c9ca0e2?authid=Ms66hE7oFhAO,,,,2.0,6.251,,80.0
S3E-1222-13P-2,BAC,6.58,7.29,6.22,47.96,7366.0,7366.0,Product Catalog,https://www.calameo.com/read/0073621279a1d0c9ca0e2?authid=Ms66hE7oFhAO,,,,2.0,6.251,,80.0
S3E-1222-10R-2,BAC,6.58,7.29,5.0,47.96,7516.0,7516.0,Product Catalog,https://www.calameo.com/read/0073621279a1d0c9ca0e2?authid=Ms66hE7oFhAO,,,,2.0,6.251,,120.0
S3E-1222-12Q-2,BAC,6.58,7.29,5.82,47.96,7625.0,7625.0,Product Catalog,https://www.calameo.com/read/0073621279a1d0c9ca0e2?authid=Ms66hE7oFhAO,,,,2.0,6.251,,100.0
S3E-1222-14P-2,BAC,6.58,7.29,6.63,47.96,7656.0,7656.0,Product Catalog,https://www.calameo.com/read/0073621279a1d0c9ca0e2?authid=Ms66hE7oFhAO,,,,2.0,6.251,,80.0
S3E-1222-13Q-2,BAC,6.58,7.29,6.22,47.96,7876.0,7876.0,Product Catalog,https://www.calameo.com/read/0073621279a1d0c9ca0e2?authid=Ms66hE7oFhAO,,,,2.0,6.251,,100.0
S3E-1222-10S-2,BAC,6.58,7.29,5.0,47.96,8042.0,8042.0,Product Catalog,https://www.calameo.com/read/0073621279a1d0c9ca0e2?authid=Ms66hE7oFhAO,,,,2.0,6.251,,150.0
S3E-1222-12R-2,BAC,6.58,7.29,5.82,47.96,8056.0,8056.0,Product Catalog,https://www.calameo.com/read/0073621279a1d0c9ca0e2?authid=Ms66hE7oFhAO,,,,2.0,6.251,,120.0
S3E-1222-14Q-2,BAC,6.58,7.29,6.63,47.96,8192.0,8192.0,Product Catalog,https://www.calameo.com/read/0073621279a1d0c9ca0e2?authid=Ms66hE7oFhAO,,,,2.0,6.251,,100.0
S3E-1222-13R-2,BAC,6.58,7.29,6.22,47.96,8319.0,8319.0,Product Catalog,https://www.calameo.com/read/0073621279a1d0c9ca0e2?authid=Ms66hE7oFhAO,,,,2.0,6.251,,120.0
S3E-1222-12S-2,BAC,6.58,7.29,5.82,47.96,8609.0,8609.0,Product Catalog,https://www.calameo.com/read/0073621279a1d0c9ca0e2?authid=Ms66hE7oFhAO,,,,2.0,6.251,,150.0
S3E-1222-14R-2,BAC,6.58,7.29,6.63,47.96,8648.0,8648.0,Product Catalog,https://www.calameo.com/read/0073621279a1d0c9ca0e2?authid=Ms66hE7oFhAO,,,,2.0,6.251,,120.0
S3E-1424-12Q-2,BAC,7.34,8.59,5.87,63.02,8732.0,8732.0,Product Catalog,https://www.calameo.com/read/0073621279a1d0c9ca0e2?authid=Ms66hE7oFhAO,,,,2.0,6.973,,100.0
S3E-1222-13S-2,BAC,6.58,7.29,6.22,47.96,8890.0,8890.0,Product Catalog,https://www.calameo.com/read/0073621279a1d0c9ca0e2?authid=Ms66hE7oFhAO,,,,2.0,6.251,,150.0
S3E-1424-13Q-2,BAC,7.34,8.59,6.27,63.02,9052.0,9052.0,Product Catalog,https://www.calameo.com/read/0073621279a1d0c9ca0e2?authid=Ms66hE7oFhAO,,,,2.0,6.973,,100.0
S3E-1424-12R-2,BAC,7.34,8.59,6.02,63.02,9215.0,9215.0,Product Catalog,https://www.calameo.com/read/0073621279a1d0c9ca0e2?authid=Ms66hE7oFhAO,,,,2.0,6.973,,120.0
S3E-1222-14S-2,BAC,6.58,7.29,6.63,47.96,9272.0,9272.0,Product Catalog,https://www.calameo.com/read/0073621279a1d0c9ca0e2?authid=Ms66hE7oFhAO,,,,2.0,6.251,,150.0
S3E-1424-14Q-2,BAC,7.34,8.59,6.68,63.02,9439.0,9439.0,Product Catalog,https://www.calameo.com/read/0073621279a1d0c9ca0e2?authid=Ms66hE7oFhAO,,,,2.0,6.973,,100.0
S3E-1424-13R-2,BAC,7.34,8.59,6.43,63.02,9548.0,9548.0,Product Catalog,https://www.calameo.com/read/0073621279a1d0c9ca0e2?authid=Ms66hE7oFhAO,,,,2.0,6.973,,120.0
S3E-1424-12S-2,BAC,7.34,8.59,6.02,63.02,9842.0,9842.0,Product Catalog,https://www.calameo.com/read/0073621279a1d0c9ca0e2?authid=Ms66hE7oFhAO,,,,2.0,6.973,,150.0
S3E-1424-14R-2,BAC,7.34,8.59,6.83,63.02,9957.0,9957.0,Product Catalog,https://www.calameo.com/read/0073621279a1d0c9ca0e2?authid=Ms66hE7oFhAO,,,,2.0,6.973,,120.0
S3E-1222-14T-2[1],BAC,6.58,7.29,6.63,47.96,10071.0,10071.0,Product Catalog,https://www.calameo.com/read/0073621279a1d0c9ca0e2?authid=Ms66hE7oFhAO,,,,2.0,6.251,,200.0
S3E-1424-13S-2,BAC,7.34,8.59,6.43,63.02,10194.0,10194.0,Product Catalog,https://www.calameo.com/read/0073621279a1d0c9ca0e2?authid=Ms66hE7oFhAO,,,,2.0,6.973,,150.0
S3E-1424-12T-2[1],BAC,7.34,8.59,6.12,63.02,10597.0,10597.0,Product Catalog,https://www.calameo.com/read/0073621279a1d0c9ca0e2?authid=Ms66hE7oFhAO,,,,2.0,6.973,,200.0
S3E-1424-14S-2,BAC,7.34,8.59,6.83,63.02,10672.0,10672.0,Product Catalog,https://www.calameo.com/read/0073621279a1d0c9ca0e2?authid=Ms66hE7oFhAO,,,,2.0,6.973,,150.0
S3E-1424-13T-2[1],BAC,7.34,8.59,6.53,63.02,10975.0,10975.0,Product Catalog,https://www.calameo.com/read/0073621279a1d0c9ca0e2?authid=Ms66hE7oFhAO,,,,2.0,6.973,,200.0
S3E-1424-14T-2[1],BAC,7.34,8.59,6.93,63.02,11436.0,11436.0,Product Catalog,https://www.calameo.com/read/0073621279a1d0c9ca0e2?authid=Ms66hE7oFhAO,,,,2.0,6.973,,200.0
S3E-1424-14U-2[2],BAC,7.34,8.59,6.83,63.02,12064.0,12064.0,Product Catalog,https://www.calameo.com/read/0073621279a1d0c9ca0e2?authid=Ms66hE7oFhAO,,,,2.0,6.973,,238.0
S3E-1424-14W-2[2],BAC,7.34,8.59,6.83,63.02,12235.0,12235.0,Product Catalog,https://www.calameo.com/read/0073621279a1d0c9ca0e2?authid=Ms66hE7oFhAO,,,,2.0,6.973,,250.0
"Liebert EFC Indirect Evaporative Freecooling System, 400kW, Perimeter",Vertiv,5.5,3.98,,21.88,400.0,400.0,,https://www.vertiv.com/en-in/products-catalog/thermal-management/evaporative-free-cooling/#/,,Bit of an outlier,,,3.781,,
"Liebert EFC Indirect Evaporative Freecooling System, 400kW, Rooftop",Vertiv,6.71,3.98,,26.71,400.0,400.0,,https://www.vertiv.com/en-in/products-catalog/thermal-management/evaporative-free-cooling/#/,,Bit of an outlier,,,3.781,,
XES15E-1285-06EN,BAC,3.05,2.59,2.97,7.9,404.0,404.0,,https://www.calameo.com/read/007362127e29aeca4d414?authid=Vtd8DMG7ouV6,,,,1.0,2.4605,,
XES15E-1285-07EN,BAC,3.45,2.59,3.38,8.95,443.0,443.0,,https://www.calameo.com/read/007362127e29aeca4d414?authid=Vtd8DMG7ouV6,,,,1.0,2.4605,,
XES15E-1285-06FN,BAC,3.05,2.59,2.97,7.9,443.0,443.0,,https://www.calameo.com/read/007362127e29aeca4d414?authid=Vtd8DMG7ouV6,,,,1.0,2.4605,,
NC8401G-1,SPX Cooling Technologies,3.91,1.99,3.11,7.77,444.0,444.0,pg. 5,https://spxcooling.com/wp-content/uploads/TECH-NC-23.pdf,,,1.83,1.0,1.83,Wet,2.0
XES15E-1285-07FN,BAC,3.45,2.59,3.38,8.95,487.0,487.0,,https://www.calameo.com/read/007362127e29aeca4d414?authid=Vtd8DMG7ouV6,,,,1.0,2.4605,,
XES15E-1285-06GN,BAC,3.05,2.59,2.97,7.9,514.0,514.0,,https://www.calameo.com/read/007362127e29aeca4d414?authid=Vtd8DMG7ouV6,,,,1.0,2.4605,,
NC8401H-1,SPX Cooling Technologies,3.91,1.99,3.11,7.77,514.4,514.4,pg. 5,https://spxcooling.com/wp-content/uploads/TECH-NC-23.pdf,,,1.83,1.0,1.83,Wet,3.0
NX1010K-1,SPX Cooling Technologies,1.73,3.24,,5.61,531.9,531.9,"NX cooling tower engineering data (sea_NX-TS-23, 1/2023), NX1000 table (p.7)",https://spxcooling.com,,,,,1.6435,,
XES15E-1285-07GN,BAC,3.45,2.59,3.38,8.95,562.0,562.0,,https://www.calameo.com/read/007362127e29aeca4d414?authid=Vtd8DMG7ouV6,,,,1.0,2.4605,,
XES15E-1285-09FN,BAC,4.37,2.59,4.37,11.32,575.0,575.0,,https://www.calameo.com/read/007362127e29aeca4d414?authid=Vtd8DMG7ouV6,,,,1.0,2.4605,,
XES15E-1285-10FN,BAC,4.78,2.59,4.78,12.37,601.0,601.0,,https://www.calameo.com/read/007362127e29aeca4d414?authid=Vtd8DMG7ouV6,,,,1.0,2.4605,,
XES15E-1285-06HN,BAC,3.05,2.59,2.97,7.9,606.0,606.0,,https://www.calameo.com/read/007362127e29aeca4d414?authid=Vtd8DMG7ouV6,,,,1.0,2.4605,,
NX1010M-1,SPX Cooling Technologies,1.73,3.24,,5.61,611.0,611.0,"NX cooling tower engineering data (sea_NX-TS-23, 1/2023), NX1000 table (p.7)",https://spxcooling.com,,,,,1.6435,,
NC8401K-1,SPX Cooling Technologies,3.91,1.99,3.11,7.77,611.1,611.1,pg. 5,https://spxcooling.com/wp-content/uploads/TECH-NC-23.pdf,,,1.83,1.0,1.83,Wet,5.0
XES15E-1285-07HN,BAC,3.45,2.59,3.38,8.95,659.0,659.0,,https://www.calameo.com/read/007362127e29aeca4d414?authid=Vtd8DMG7ouV6,,,,1.0,2.4605,,
XES15E-1285-09GN,BAC,4.37,2.59,4.37,11.32,663.0,663.0,,https://www.calameo.com/read/007362127e29aeca4d414?authid=Vtd8DMG7ouV6,,,,1.0,2.4605,,
NX1010N-1,SPX Cooling Technologies,1.73,3.24,,5.61,677.0,677.0,"NX cooling tower engineering data (sea_NX-TS-23, 1/2023), NX1000 table (p.7)",https://spxcooling.com,,,,,1.6435,,
NC8402H-1,SPX Cooling Technologies,4.32,2.56,4.5,11.05,,712.3,pg. 5,https://spxcooling.com/wp-content/uploads/TECH-NC-23.pdf,,,2.13,1.0,2.13,Wet,3.0
S15E-1285-06JN,BAC,3.05,2.59,2.97,7.9,694.0,694.0,,https://www.calameo.com/read/007362127e29aeca4d414?authid=Vtd8DMG7ouV6,,,,1.0,2.4605,,
XES15E-1285-10GN,BAC,4.78,2.59,4.78,12.37,694.0,694.0,,https://www.calameo.com/read/007362127e29aeca4d414?authid=Vtd8DMG7ouV6,,,,1.0,2.4605,,
NC8401M-1,SPX Cooling Technologies,3.91,1.99,3.11,7.77,699.0,699.0,pg. 5,https://spxcooling.com/wp-content/uploads/TECH-NC-23.pdf,,,1.83,1.0,1.83,Wet,7.5
XES15E-1212-07EN,BAC,3.45,3.66,3.38,12.63,733.0,733.0,,https://www.calameo.com/read/007362127e29aeca4d414?authid=Vtd8DMG7ouV6,,,,1.0,3.2775,,
XES3E-8518-05G,BAC,5.51,2.59,3.0,14.28,751.0,751.0,Product Catalog,https://www.calameo.com/read/0073621279a1d0c9ca0e2?authid=Ms66hE7oFhAO,,,,1.0,2.4605,,3.0
S15E-1285-06KN,BAC,3.05,2.59,2.97,7.9,759.0,759.0,,https://www.calameo.com/read/007362127e29aeca4d414?authid=Vtd8DMG7ouV6,,,,1.0,2.4605,,
XES15E-1285-07JN,BAC,3.45,2.59,3.38,8.95,764.0,764.0,,https://www.calameo.com/read/007362127e29aeca4d414?authid=Vtd8DMG7ouV6,,,,1.0,2.4605,,
NX1010P-1,SPX Cooling Technologies,1.73,3.24,,5.61,764.9,764.9,"NX cooling tower engineering data (sea_NX-TS-23, 1/2023), NX1000 table (p.7)",https://spxcooling.com,,,,,1.6435,,
NC8401N-1,SPX Cooling Technologies,3.91,1.99,3.11,7.77,769.4,769.4,pg. 5,https://spxcooling.com/wp-content/uploads/TECH-NC-23.pdf,,,1.83,1.0,1.83,Wet,10.0
XES15E-1285-09HN,BAC,4.37,2.59,4.37,11.32,781.0,781.0,,https://www.calameo.com/read/007362127e29aeca4d414?authid=Vtd8DMG7ouV6,,,,1.0,2.4605,,
NX1015K-1,SPX Cooling Technologies,2.52,3.86,,9.73,800.1,800.1,"NX cooling tower engineering data (sea_NX-TS-23, 1/2023), NX1000 table (p.7)",https://spxcooling.com,,,,,2.394,,
XES15E-1212-07FN,BAC,3.45,3.66,3.38,12.63,803.0,803.0,,https://www.calameo.com/read/007362127e29aeca4d414?authid=Vtd8DMG7ouV6,,,,1.0,3.2775,,
XES15E-1285-10HN,BAC,4.78,2.59,4.78,12.37,817.0,817.0,,https://www.calameo.com/read/007362127e29aeca4d414?authid=Vtd8DMG7ouV6,,,,1.0,2.4605,,
NC8402K-1,SPX Cooling Technologies,4.32,2.56,4.5,11.05,,846.3,pg. 5,https://spxcooling.com/wp-content/uploads/TECH-NC-23.pdf,,,2.13,1.0,2.13,Wet,5.0
S15E-1285-07KN,BAC,3.45,2.59,3.38,8.95,830.0,830.0,,https://www.calameo.com/read/007362127e29aeca4d414?authid=Vtd8DMG7ouV6,,,,1.0,2.4605,,
XES3E-8518-06G,BAC,5.51,2.59,3.4,14.28,852.0,852.0,Product Catalog,https://www.calameo.com/read/0073621279a1d0c9ca0e2?authid=Ms66hE7oFhAO,,,,1.0,2.4605,,3.0
XES15E-1212-09EN,BAC,4.34,3.66,4.24,15.89,856.0,856.0,,https://www.calameo.com/read/007362127e29aeca4d414?authid=Vtd8DMG7ouV6,,,,1.0,3.477,,
NC8403H-1,SPX Cooling Technologies,5.54,2.56,5.01,14.17,,901.3,pg. 5,https://spxcooling.com/wp-content/uploads/TECH-NC-23.pdf,,,2.13,1.0,2.13,Wet,3.0
XES15E-1212-07GC,BAC,3.45,3.66,3.38,12.63,865.0,865.0,,https://www.calameo.com/read/007362127e29aeca4d414?authid=Vtd8DMG7ouV6,,,,1.0,3.2775,,
S15E-1285-06LN,BAC,3.05,2.59,2.97,7.9,869.0,869.0,,https://www.calameo.com/read/007362127e29aeca4d414?authid=Vtd8DMG7ouV6,,,,1.0,2.4605,,
NC8401P-1,SPX Cooling Technologies,3.91,1.99,3.11,7.77,870.5,870.5,pg. 5,https://spxcooling.com/wp-content/uploads/TECH-NC-23.pdf,,,1.83,1.0,1.83,Wet,15.0
NX1015M-1,SPX Cooling Technologies,2.52,3.86,,9.73,879.3,879.3,"NX cooling tower engineering data (sea_NX-TS-23, 1/2023), NX1000 table (p.7)",https://spxcooling.com,,,,,2.394,,
GT-20 200 Ton,Aggreko,6.1,2.44,2.9,14.88,879.3,879.3,Aggreko product page,https://www.aggreko.com/en-us/products/hvac/cooling/cooling-towers/cooling-tower-gt-20-200-ton,,,,,2.318,,
XES3E-8518-05H,BAC,5.51,2.59,3.0,14.28,891.0,891.0,Product Catalog,https://www.calameo.com/read/0073621279a1d0c9ca0e2?authid=Ms66hE7oFhAO,,,,1.0,2.4605,,5.0
XES15E-1285-09JN,BAC,4.37,2.59,4.37,11.32,896.0,896.0,,https://www.calameo.com/read/007362127e29aeca4d414?authid=Vtd8DMG7ouV6,,,,1.0,2.4605,,
XES15E-1212-10EN,BAC,4.75,3.66,4.65,17.37,896.0,896.0,,https://www.calameo.com/read/007362127e29aeca4d414?authid=Vtd8DMG7ouV6,,,,1.0,3.477,,
XES3E-1020-06G,BAC,6.12,3.0,3.3,18.35,904.0,904.0,Product Catalog,https://www.calameo.com/read/0073621279a1d0c9ca0e2?authid=Ms66hE7oFhAO,,,,1.0,2.85,,3.0
XES15E-1212-07GN,BAC,3.45,3.66,3.38,12.63,913.0,913.0,,https://www.calameo.com/read/007362127e29aeca4d414?authid=Vtd8DMG7ouV6,,,,1.0,3.2775,,
XES15E-1212-11EN,BAC,5.16,3.66,5.05,18.86,926.0,926.0,,https://www.calameo.com/read/007362127e29aeca4d414?authid=Vtd8DMG7ouV6,,,,1.0,3.477,,
NC8402M-1,SPX Cooling Technologies,4.32,2.56,4.5,11.05,,967.1,pg. 5,https://spxcooling.com/wp-content/uploads/TECH-NC-23.pdf,,,2.13,1.0,2.13,Wet,7.5
XES15E-1285-10JN,BAC,4.78,2.59,4.78,12.37,935.0,935.0,,https://www.calameo.com/read/007362127e29aeca4d414?authid=Vtd8DMG7ouV6,,,,1.0,2.4605,,
XES15E-1212-09FN,BAC,4.34,3.66,4.24,15.89,935.0,935.0,,https://www.calameo.com/read/007362127e29aeca4d414?authid=Vtd8DMG7ouV6,,,,1.0,3.477,,
