model,manufacturer,length_m,width_m,height_m,area_m2,cooling_capacity_stated_kw,cooling_capacity_central_estimate_kw,source,link,spot_check,notes,fan_diameter_m,number_of_fans,fan_estimate_diameter_m,type,motor_horsepower
XES3E-1424-07N,BAC,7.34,4.27,3.76,31.32,2568.0,2568.0,Product Catalog,https://www.calameo.com/read/0073621279a1d0c9ca0e2?authid=Ms66hE7oFhAO,,,,1.0,4.0565,,25.0
S3E-8518-05L-2,BAC,5.51,5.26,3.0,28.98,2568.0,2568.0,Product Catalog,https://www.calameo.com/read/0073621279a1d0c9ca0e2?authid=Ms66hE7oFhAO,,,,2.0,4.997,,30.0
XES3E-1222-12L,BAC,6.58,3.61,5.82,23.73,2634.0,2634.0,Product Catalog,https://www.calameo.com/read/0073621279a1d0c9ca0e2?authid=Ms66hE7oFhAO,,,,1.0,3.4294999999999995,,15.0
S15E-1218-10LC,BAC,4.9,5.49,4.88,26.9,2634.0,2634.0,,https://www.calameo.com/read/007362127e29aeca4d414?authid=Vtd8DMG7ouV6,,,,1.0,4.655,,
S15E-1218-12KN,BAC,5.72,5.49,5.69,31.35,2656.0,2656.0,,https://www.calameo.com/read/007362127e29aeca4d414?authid=Vtd8DMG7ouV6,,,,1.0,5.2155,,
S15E-1218-09LN,BAC,4.5,5.49,4.47,24.67,2660.0,2660.0,,https://www.calameo.com/read/007362127e29aeca4d414?authid=Vtd8DMG7ouV6,,,,1.0,4.275,,
S3E-1222-07P,BAC,6.58,3.61,3.73,23.73,2665.0,2665.0,Product Catalog,https://www.calameo.com/read/0073621279a1d0c9ca0e2?authid=Ms66hE7oFhAO,,,,1.0,3.4294999999999995,,40.0
XES3E-1222-10M,BAC,6.58,3.61,5.0,23.73,2682.0,2682.0,Product Catalog,https://www.calameo.com/read/0073621279a1d0c9ca0e2?authid=Ms66hE7oFhAO,,,,1.0,3.4294999999999995,,20.0
S15E-1212-07KN-2,BAC,3.45,7.37,3.38,25.45,2713.0,2713.0,,https://www.calameo.com/read/007362127e29aeca4d414?authid=Vtd8DMG7ouV6,,,,2.0,3.2775,,
S15E-1285-10NN-2,BAC,4.78,5.23,4.78,24.99,2722.0,2722.0,,https://www.calameo.com/read/007362127e29aeca4d414?authid=Vtd8DMG7ouV6,,,,2.0,4.541,,
XES3E-1222-13L,BAC,6.58,3.61,6.22,23.73,2722.0,2722.0,Product Catalog,https://www.calameo.com/read/0073621279a1d0c9ca0e2?authid=Ms66hE7oFhAO,,,,1.0,3.4294999999999995,,15.0
S3E-1424-07O,BAC,7.34,4.27,3.76,31.32,2726.0,2726.0,Product Catalog,https://www.calameo.com/read/0073621279a1d0c9ca0e2?authid=Ms66hE7oFhAO,,,,1.0,4.0565,,30.0
S15E-1218-11LC,BAC,5.31,5.49,5.28,29.13,2744.0,2744.0,,https://www.calameo.com/read/007362127e29aeca4d414?authid=Vtd8DMG7ouV6,,,,1.0,5.044499999999999,,
S15E-1218-10LN,BAC,4.9,5.49,4.88,26.9,2761.0,2761.0,,https://www.calameo.com/read/007362127e29aeca4d414?authid=Vtd8DMG7ouV6,,,,1.0,4.655,,
S3E-8518-05M-2,BAC,5.51,5.26,3.0,28.98,2823.0,2823.0,Product Catalog,https://www.calameo.com/read/0073621279a1d0c9ca0e2?authid=Ms66hE7oFhAO,,,,2.0,4.997,,40.0
XES3E-1222-14L,BAC,6.58,3.61,6.63,23.73,2832.0,2832.0,Product Catalog,https://www.calameo.com/read/0073621279a1d0c9ca0e2?authid=Ms66hE7oFhAO,,,,1.0,3.4294999999999995,,15.0
S15E-1218-12LC,BAC,5.72,5.49,5.69,31.35,2840.0,2840.0,,https://www.calameo.com/read/007362127e29aeca4d414?authid=Vtd8DMG7ouV6,,,,1.0,5.2155,,
S3E-1222-07Q,BAC,6.58,3.61,3.73,23.73,2862.0,2862.0,Product Catalog,https://www.calameo.com/read/0073621279a1d0c9ca0e2?authid=Ms66hE7oFhAO,,,,1.0,3.4294999999999995,,50.0
XES3E-1222-10N,BAC,6.58,3.61,5.0,23.73,2875.0,2875.0,Product Catalog,https://www.calameo.com/read/0073621279a1d0c9ca0e2?authid=Ms66hE7oFhAO,,,,1.0,3.4294999999999995,,25.0
S15E-1218-11LN,BAC,5.31,5.49,5.28,29.13,2875.0,2875.0,,https://www.calameo.com/read/007362127e29aeca4d414?authid=Vtd8DMG7ouV6,,,,1.0,5.044499999999999,,
S15E-1212-09JN-2,BAC,4.34,7.37,4.24,31.99,2880.0,2880.0,,https://www.calameo.com/read/007362127e29aeca4d414?authid=Vtd8DMG7ouV6,,,,2.0,4.122999999999999,,
XES3E-1222-12M,BAC,6.58,3.61,5.82,23.73,2884.0,2884.0,Product Catalog,https://www.calameo.com/read/0073621279a1d0c9ca0e2?authid=Ms66hE7oFhAO,,,,1.0,3.4294999999999995,,20.0
S3E-8518-06L-2,BAC,5.51,5.26,3.4,28.98,2889.0,2889.0,Product Catalog,https://www.calameo.com/read/0073621279a1d0c9ca0e2?authid=Ms66hE7oFhAO,,,,2.0,4.997,,30.0
S15E-1212-07LC-2,BAC,3.45,7.37,3.38,25.45,2915.0,2915.0,,https://www.calameo.com/read/007362127e29aeca4d414?authid=Vtd8DMG7ouV6,,,,2.0,3.2775,,
S15E-1218-12LN,BAC,5.72,5.49,5.69,31.35,2976.0,2976.0,,https://www.calameo.com/read/007362127e29aeca4d414?authid=Vtd8DMG7ouV6,,,,1.0,5.2155,,
XES3E-1222-13M,BAC,6.58,3.61,6.22,23.73,2976.0,2976.0,Product Catalog,https://www.calameo.com/read/0073621279a1d0c9ca0e2?authid=Ms66hE7oFhAO,,,,1.0,3.4294999999999995,,20.0
S3E-1424-07P,BAC,7.34,4.27,3.76,31.32,2985.0,2985.0,Product Catalog,https://www.calameo.com/read/0073621279a1d0c9ca0e2?authid=Ms66hE7oFhAO,,,,1.0,4.0565,,40.0
S3E-1222-07R,BAC,6.58,3.61,3.89,23.73,3029.0,3029.0,Product Catalog,https://www.calameo.com/read/0073621279a1d0c9ca0e2?authid=Ms66hE7oFhAO,,,,1.0,3.4294999999999995,,60.0
XES3E-1424-12L,BAC,7.34,4.27,5.87,31.32,3033.0,3033.0,Product Catalog,https://www.calameo.com/read/0073621279a1d0c9ca0e2?authid=Ms66hE7oFhAO,,,,1.0,4.0565,,15.0
XES3E-1222-10O,BAC,6.58,3.61,5.0,23.73,3042.0,3042.0,Product Catalog,https://www.calameo.com/read/0073621279a1d0c9ca0e2?authid=Ms66hE7oFhAO,,,,1.0,3.4294999999999995,,30.0
S15E-1218-10MN,BAC,4.9,5.49,4.88,26.9,3047.0,3047.0,,https://www.calameo.com/read/007362127e29aeca4d414?authid=Vtd8DMG7ouV6,,,,1.0,4.655,,
XES3E-1222-12N,BAC,6.58,3.61,5.82,23.73,3086.0,3086.0,Product Catalog,https://www.calameo.com/read/0073621279a1d0c9ca0e2?authid=Ms66hE7oFhAO,,,,1.0,3.4294999999999995,,25.0
XES3E-1222-14M,BAC,6.58,3.61,6.63,23.73,3099.0,3099.0,Product Catalog,https://www.calameo.com/read/0073621279a1d0c9ca0e2?authid=Ms66hE7oFhAO,,,,1.0,3.4294999999999995,,20.0
S15E-1212-09KN-2,BAC,4.34,7.37,4.24,31.99,3143.0,3143.0,,https://www.calameo.com/read/007362127e29aeca4d414?authid=Vtd8DMG7ouV6,,,,2.0,4.122999999999999,,
XES3E-1424-13L,BAC,7.34,4.27,6.27,31.32,3148.0,3148.0,Product Catalog,https://www.calameo.com/read/0073621279a1d0c9ca0e2?authid=Ms66hE7oFhAO,,,,1.0,4.0565,,15.0
S15E-1218-11MN,BAC,5.31,5.49,5.28,29.13,3170.0,3170.0,,https://www.calameo.com/read/007362127e29aeca4d414?authid=Vtd8DMG7ouV6,,,,1.0,5.044499999999999,,
S3E-8518-06M-2,BAC,5.51,5.26,3.4,28.98,3174.0,3174.0,Product Catalog,https://www.calameo.com/read/0073621279a1d0c9ca0e2?authid=Ms66hE7oFhAO,,,,2.0,4.997,,40.0
XES3E-1222-13N,BAC,6.58,3.61,6.22,23.73,3192.0,3192.0,Product Catalog,https://www.calameo.com/read/0073621279a1d0c9ca0e2?authid=Ms66hE7oFhAO,,,,1.0,3.4294999999999995,,25.0
S3E-1424-07Q,BAC,7.34,4.27,3.76,31.32,3200.0,3200.0,Product Catalog,https://www.calameo.com/read/0073621279a1d0c9ca0e2?authid=Ms66hE7oFhAO,,,,1.0,4.0565,,50.0
XES3E-1222-12O,BAC,6.58,3.61,5.82,23.73,3266.0,3266.0,Product Catalog,https://www.calameo.com/read/0073621279a1d0c9ca0e2?authid=Ms66hE7oFhAO,,,,1.0,3.4294999999999995,,30.0
S15E-1218-12MN,BAC,5.72,5.49,5.69,31.35,3279.0,3279.0,,https://www.calameo.com/read/007362127e29aeca4d414?authid=Vtd8DMG7ouV6,,,,1.0,5.2155,,
S15E-1212-10KN-2,BAC,4.75,7.37,4.65,34.99,3301.0,3301.0,,https://www.calameo.com/read/007362127e29aeca4d414?authid=Vtd8DMG7ouV6,,,,2.0,4.5125,,
XES3E-1424-12M,BAC,7.34,4.27,5.87,31.32,3314.0,3314.0,Product Catalog,https://www.calameo.com/read/0073621279a1d0c9ca0e2?authid=Ms66hE7oFhAO,,,,1.0,4.0565,,20.0
XES3E-1222-14N,BAC,6.58,3.61,6.63,23.73,3319.0,3319.0,Product Catalog,https://www.calameo.com/read/0073621279a1d0c9ca0e2?authid=Ms66hE7oFhAO,,,,1.0,3.4294999999999995,,25.0
S3E-1222-10P,BAC,6.58,3.61,5.0,23.73,3323.0,3323.0,Product Catalog,https://www.calameo.com/read/0073621279a1d0c9ca0e2?authid=Ms66hE7oFhAO,,,,1.0,3.4294999999999995,,40.0
S15E-1212-09LC-2,BAC,4.34,7.37,4.24,31.99,3363.0,3363.0,,https://www.calameo.com/read/007362127e29aeca4d414?authid=Vtd8DMG7ouV6,,,,2.0,4.122999999999999,,
S3E-1020-06M-2,BAC,6.12,6.05,3.3,37.01,3367.0,3367.0,Product Catalog,https://www.calameo.com/read/0073621279a1d0c9ca0e2?authid=Ms66hE7oFhAO,,,,2.0,5.7475,,40.0
XES3E-1222-13O,BAC,6.58,3.61,6.22,23.73,3376.0,3376.0,Product Catalog,https://www.calameo.com/read/0073621279a1d0c9ca0e2?authid=Ms66hE7oFhAO,,,,1.0,3.4294999999999995,,30.0
S3E-1424-07R,BAC,7.34,4.27,3.76,31.32,3389.0,3389.0,Product Catalog,https://www.calameo.com/read/0073621279a1d0c9ca0e2?authid=Ms66hE7oFhAO,,,,1.0,4.0565,,60.0
S15E-1212-11KN-2,BAC,5.16,7.37,5.05,37.98,3398.0,3398.0,,https://www.calameo.com/read/007362127e29aeca4d414?authid=Vtd8DMG7ouV6,,,,2.0,4.902,,
S3E-8518-06N-2,BAC,5.51,5.26,3.4,28.98,3407.0,3407.0,Product Catalog,https://www.calameo.com/read/0073621279a1d0c9ca0e2?authid=Ms66hE7oFhAO,,,,2.0,4.997,,50.0
XES3E-1424-13M,BAC,7.34,4.27,6.27,31.32,3437.0,3437.0,Product Catalog,https://www.calameo.com/read/0073621279a1d0c9ca0e2?authid=Ms66hE7oFhAO,,,,1.0,4.0565,,20.0
XES3E-1222-14O,BAC,6.58,3.61,6.63,23.73,3508.0,3508.0,Product Catalog,https://www.calameo.com/read/0073621279a1d0c9ca0e2?authid=Ms66hE7oFhAO,,,,1.0,3.4294999999999995,,30.0
S3E-8518-07M-2,BAC,5.51,5.26,3.81,28.98,3512.0,3512.0,Product Catalog,https://www.calameo.com/read/0073621279a1d0c9ca0e2?authid=Ms66hE7oFhAO,,,,2.0,4.997,,40.0
S15E-1212-09LN-2,BAC,4.34,7.37,4.24,31.99,3521.0,3521.0,,https://www.calameo.com/read/007362127e29aeca4d414?authid=Vtd8DMG7ouV6,,,,2.0,4.122999999999999,,
S15E-1212-12KN-2,BAC,5.56,7.37,5.46,40.97,3521.0,3521.0,,https://www.calameo.com/read/007362127e29aeca4d414?authid=Vtd8DMG7ouV6,,,,2.0,5.281999999999999,,
S15E-1212-10LC-2,BAC,4.75,7.37,4.65,34.99,3530.0,3530.0,,https://www.calameo.com/read/007362127e29aeca4d414?authid=Vtd8DMG7ouV6,,,,2.0,4.5125,,
XES3E-1424-12N,BAC,7.34,4.27,5.87,31.32,3547.0,3547.0,Product Catalog,https://www.calameo.com/read/0073621279a1d0c9ca0e2?authid=Ms66hE7oFhAO,,,,1.0,4.0565,,25.0
S3E-1222-10Q,BAC,6.58,3.61,5.0,23.73,3556.0,3556.0,Product Catalog,https://www.calameo.com/read/0073621279a1d0c9ca0e2?authid=Ms66hE7oFhAO,,,,1.0,3.4294999999999995,,50.0
S3E-1222-12P,BAC,6.58,3.61,5.82,23.73,3565.0,3565.0,Product Catalog,https://www.calameo.com/read/0073621279a1d0c9ca0e2?authid=Ms66hE7oFhAO,,,,1.0,3.4294999999999995,,40.0
S3E-8518-06O-2,BAC,5.51,5.26,3.4,28.98,3569.0,3569.0,Product Catalog,https://www.calameo.com/read/0073621279a1d0c9ca0e2?authid=Ms66hE7oFhAO,,,,2.0,4.997,,60.0
XES3E-1424-14M,BAC,7.34,4.27,6.68,31.32,3587.0,3587.0,Product Catalog,https://www.calameo.com/read/0073621279a1d0c9ca0e2?authid=Ms66hE7oFhAO,,,,1.0,4.0565,,20.0
S3E-1020-06N-2,BAC,6.12,6.05,3.3,37.01,3613.0,3613.0,Product Catalog,https://www.calameo.com/read/0073621279a1d0c9ca0e2?authid=Ms66hE7oFhAO,,,,2.0,5.7475,,50.0
S15E-1212-11LC-2,BAC,5.16,7.37,5.05,37.98,3635.0,3635.0,,https://www.calameo.com/read/007362127e29aeca4d414?authid=Vtd8DMG7ouV6,,,,2.0,4.902,,
XES3E-1424-13N,BAC,7.34,4.27,6.27,31.32,3679.0,3679.0,Product Catalog,https://www.calameo.com/read/0073621279a1d0c9ca0e2?authid=Ms66hE7oFhAO,,,,1.0,4.0565,,25.0
S3E-1222-13P,BAC,6.58,3.61,6.22,23.73,3683.0,3683.0,Product Catalog,https://www.calameo.com/read/0073621279a1d0c9ca0e2?authid=Ms66hE7oFhAO,,,,1.0,3.4294999999999995,,40.0
S15E-1212-10LN-2,BAC,4.75,7.37,4.65,34.99,3696.0,3696.0,,https://www.calameo.com/read/007362127e29aeca4d414?authid=Vtd8DMG7ouV6,,,,2.0,4.5125,,
S3E-1020-07M-2,BAC,6.12,6.05,3.71,37.01,3736.0,3736.0,Product Catalog,https://www.calameo.com/read/0073621279a1d0c9ca0e2?authid=Ms66hE7oFhAO,,,,2.0,5.7475,,40.0
S15E-1218-07JN-2,BAC,3.61,11.02,3.61,39.76,3749.0,3749.0,,https://www.calameo.com/read/007362127e29aeca4d414?authid=Vtd8DMG7ouV6,,,,2.0,3.4294999999999995,,
XES3E-1424-12O,BAC,7.34,4.27,5.87,31.32,3749.0,3749.0,Product Catalog,https://www.calameo.com/read/0073621279a1d0c9ca0e2?authid=Ms66hE7oFhAO,,,,1.0,4.0565,,30.0
S3E-1222-10R,BAC,6.58,3.61,5.0,23.73,3758.0,3758.0,Product Catalog,https://www.calameo.com/read/0073621279a1d0c9ca0e2?authid=Ms66hE7oFhAO,,,,1.0,3.4294999999999995,,60.0
S15E-1212-12LC-2,BAC,5.56,7.37,5.46,40.97,3767.0,3767.0,,https://www.calameo.com/read/007362127e29aeca4d414?authid=Vtd8DMG7ouV6,,,,2.0,5.281999999999999,,
S3E-8518-07N-2,BAC,5.51,5.26,3.81,28.98,3767.0,3767.0,Product Catalog,https://www.calameo.com/read/0073621279a1d0c9ca0e2?authid=Ms66hE7oFhAO,,,,2.0,4.997,,50.0
S15E-1212-11LN-2,BAC,5.16,7.37,5.05,37.98,3811.0,3811.0,,https://www.calameo.com/read/007362127e29aeca4d414?authid=Vtd8DMG7ouV6,,,,2.0,4.902,,
S3E-1222-12Q,BAC,6.58,3.61,5.82,23.73,3815.0,3815.0,Product Catalog,https://www.calameo.com/read/0073621279a1d0c9ca0e2?authid=Ms66hE7oFhAO,,,,1.0,3.4294999999999995,,50.0
S3E-1222-14P,BAC,6.58,3.61,6.63,23.73,3828.0,3828.0,Product Catalog,https://www.calameo.com/read/0073621279a1d0c9ca0e2?authid=Ms66hE7oFhAO,,,,1.0,3.4294999999999995,,40.0
S3E-1020-06O-2,BAC,6.12,6.05,3.3,37.01,3828.0,3828.0,Product Catalog,https://www.calameo.com/read/0073621279a1d0c9ca0e2?authid=Ms66hE7oFhAO,,,,2.0,5.7475,,60.0
XES3E-1424-14N,BAC,7.34,4.27,6.68,31.32,3837.0,3837.0,Product Catalog,https://www.calameo.com/read/0073621279a1d0c9ca0e2?authid=Ms66hE7oFhAO,,,,1.0,4.0565,,25.0
S3E-1222-06M-2,BAC,6.58,7.29,3.33,47.96,3850.0,3850.0,Product Catalog,https://www.calameo.com/read/0073621279a1d0c9ca0e2?authid=Ms66hE7oFhAO,,,,2.0,6.251,,40.0
XES3E-1424-13O,BAC,7.34,4.27,6.27,31.32,3885.0,3885.0,Product Catalog,https://www.calameo.com/read/0073621279a1d0c9ca0e2?authid=Ms66hE7oFhAO,,,,1.0,4.0565,,30.0
S3E-1222-13Q,BAC,6.58,3.61,6.22,23.73,3938.0,3938.0,Product Catalog,https://www.calameo.com/read/0073621279a1d0c9ca0e2?authid=Ms66hE7oFhAO,,,,1.0,3.4294999999999995,,50.0
S15E-1212-12LN-2,BAC,5.56,7.37,5.46,40.97,3942.0,3942.0,,https://www.calameo.com/read/007362127e29aeca4d414?authid=Vtd8DMG7ouV6,,,,2.0,5.281999999999999,,
S3E-8518-07O-2,BAC,5.51,5.26,3.81,28.98,3964.0,3964.0,Product Catalog,https://www.calameo.com/read/0073621279a1d0c9ca0e2?authid=Ms66hE7oFhAO,,,,2.0,4.997,,60.0
S3E-1020-07N-2,BAC,6.12,6.05,3.71,37.01,4008.0,4008.0,Product Catalog,https://www.calameo.com/read/0073621279a1d0c9ca0e2?authid=Ms66hE7oFhAO,,,,2.0,5.7475,,50.0
S3E-1222-10S,BAC,6.58,3.61,5.0,23.73,4021.0,4021.0,Product Catalog,https://www.calameo.com/read/0073621279a1d0c9ca0e2?authid=Ms66hE7oFhAO,,,,1.0,3.4294999999999995,,75.0
S3E-1222-12R,BAC,6.58,3.61,5.82,23.73,4026.0,4026.0,Product Catalog,https://www.calameo.com/read/0073621279a1d0c9ca0e2?authid=Ms66hE7oFhAO,,,,1.0,3.4294999999999995,,60.0
S15E-1212-10MN-2,BAC,4.75,7.37,4.65,34.99,4030.0,4030.0,,https://www.calameo.com/read/007362127e29aeca4d414?authid=Vtd8DMG7ouV6,,,,2.0,4.5125,,
XES3E-1424-14O,BAC,7.34,4.27,6.68,31.32,4056.0,4056.0,Product Catalog,https://www.calameo.com/read/0073621279a1d0c9ca0e2?authid=Ms66hE7oFhAO,,,,1.0,4.0565,,30.0
XES3E-1424-12P,BAC,7.34,4.27,5.87,31.32,4087.0,4087.0,Product Catalog,https://www.calameo.com/read/0073621279a1d0c9ca0e2?authid=Ms66hE7oFhAO,,,,1.0,4.0565,,40.0
S15E-1218-07KN-2,BAC,3.61,11.02,3.61,39.76,4091.0,4091.0,,https://www.calameo.com/read/007362127e29aeca4d414?authid=Vtd8DMG7ouV6,,,,2.0,3.4294999999999995,,
S3E-1222-14Q,BAC,6.58,3.61,6.63,23.73,4096.0,4096.0,Product Catalog,https://www.calameo.com/read/0073621279a1d0c9ca0e2?authid=Ms66hE7oFhAO,,,,1.0,3.4294999999999995,,50.0
S3E-1222-06N-2,BAC,6.58,7.29,3.33,47.96,4135.0,4135.0,Product Catalog,https://www.calameo.com/read/0073621279a1d0c9ca0e2?authid=Ms66hE7oFhAO,,,,2.0,6.251,,50.0
S3E-1222-13R,BAC,6.58,3.61,6.22,23.73,4157.0,4157.0,Product Catalog,https://www.calameo.com/read/0073621279a1d0c9ca0e2?authid=Ms66hE7oFhAO,,,,1.0,3.4294999999999995,,60.0
S15E-1212-11MN-2,BAC,5.16,7.37,5.05,37.98,4197.0,4197.0,,https://www.calameo.com/read/007362127e29aeca4d414?authid=Vtd8DMG7ouV6,,,,2.0,4.902,,
XES3E-1424-13P,BAC,7.34,4.27,6.27,31.32,4236.0,4236.0,Product Catalog,https://www.calameo.com/read/0073621279a1d0c9ca0e2?authid=Ms66hE7oFhAO,,,,1.0,4.0565,,40.0
S3E-8518-07P-2,BAC,5.51,5.26,3.81,28.98,4250.0,4250.0,Product Catalog,https://www.calameo.com/read/0073621279a1d0c9ca0e2?authid=Ms66hE7oFhAO,,,,2.0,4.997,,80.0
S3E-1020-07O-2,BAC,6.12,6.05,3.71,37.01,4250.0,4250.0,Product Catalog,https://www.calameo.com/read/0073621279a1d0c9ca0e2?authid=Ms66hE7oFhAO,,,,2.0,5.7475,,60.0
